vendor_guid,object_type,title,description,friendly_description,display_name,calculation_method,calculation_int,workflow_state,parent_guids,mastery_points,ratings
cpe103_clos,group,"CPE103 — Course Learning Outcomes","The five course learning outcomes for Basic Computer Engineering. Every criterion is scored on the same 5-level scale: Exemplary (4), Mastery (3, the target), Near Mastery (2.5), Below Mastery (2), No Evidence (0). A CLO's score is the average of its criteria. Mastery on every CLO earns a B; Exemplary work lifts the grade to B+ and A.",,,,,active,,,
cpe103_clo1,group,"CLO1 — Programming Fundamentals","Write basic programs using fundamental constructs including variables, control flow, functions, and algorithms.",,,,,active,cpe103_clos,,
cpe103_clo1_1,outcome,"CLO1.1 Correctness","How the program behaves against the required cases. Part of CLO1: Write basic programs using fundamental constructs including variables, control flow, functions, and algorithms.","Your program does what the assignment requires in every specified case. Mastery (3) is the target; Exemplary (4) is available on the Final Project — claim it with evidence.","CLO1.1 Correctness",average,,active,cpe103_clo1,3,4,"Exemplary: Meets Mastery and also handles edge cases and unexpected input gracefully. Available on the Final Project only — claimed with evidence.",3,"Mastery (target): Produces the required behavior in all specified cases.",2.5,"Near Mastery: Runs but fails one required case.",2,"Below Mastery: Program does not run, or fails most required cases.",0,"No Evidence: Nothing submitted to assess."
cpe103_clo1_2,outcome,"CLO1.2 Use of constructs","Choosing and using the right programming constructs in readable code. Part of CLO1: Write basic programs using fundamental constructs including variables, control flow, functions, and algorithms.","You choose the right constructs — variables, control flow, functions, algorithms — and use them correctly in readable code. Mastery (3) is the target; Exemplary (4) is available on the Final Project.","CLO1.2 Use of constructs",average,,active,cpe103_clo1,3,4,"Exemplary: Meets Mastery and also applies a new algorithm beyond those taught, correctly, and can explain how it works. Final Project only — claimed with evidence.",3,"Mastery (target): Selects and uses appropriate constructs (variables, control flow, custom blocks/functions, algorithms) correctly, in readable code.",2.5,"Near Mastery: Uses constructs but with errors or needless redundancy.",2,"Below Mastery: Misuses or avoids core constructs.",0,"No Evidence: Nothing submitted to assess."
cpe103_clo2,group,"CLO2 — System Analysis (User Journey & Process Mapping)","Apply User Journey Analysis and Process Mapping to a system, and recommend design improvements justified by that analysis.",,,,,active,cpe103_clos,,
cpe103_clo2_1,outcome,"CLO2.1 User journey analysis & improvement","Mapping the user's experience and recommending improvements justified by it. Part of CLO2: Apply User Journey Analysis and Process Mapping to a system, and recommend design improvements justified by that analysis.","You map the user's full journey (stages, touchpoints, pain points) and recommend a justified improvement, revising the design once. Mastery (3) is the target; Exemplary (4) is available on the Final Project.","CLO2.1 User journey & improvement",average,,active,cpe103_clo2,3,4,"Exemplary: Meets Mastery and also closes the loop — re-tests the revised design and shows with before/after evidence that the targeted pain point measurably eased — or reconciles multiple user segments/journeys in one design. Final Project only — claimed with evidence.",3,"Mastery (target): Maps a complete, accurate journey of the user's experience (key stages, touchpoints, pain points) and recommends improvements justified by it, revising the design through one iteration.",2.5,"Near Mastery: Captures some of the journey but with gaps, and improvements are generic or weakly grounded in it.",2,"Below Mastery: Journey missing or inaccurate, and no usable recommendation.",0,"No Evidence: Nothing submitted to assess."
cpe103_clo2_2,outcome,"CLO2.2 Process Mapping","Documenting the system's internal process flow, distinct from the user's experience. Part of CLO2: Apply User Journey Analysis and Process Mapping to a system, and recommend design improvements justified by that analysis.","You document a clear, correct map of the system's internal flow — steps, sequence, and decision points. Mastery (3) is the target; Exemplary (4) is available on the Final Project.","CLO2.2 Process Mapping",average,,active,cpe103_clo2,3,4,"Exemplary: Meets Mastery and also models the flow beyond the happy path — exception/error paths, or responsibility lanes separating what each actor/component does. Final Project only — claimed with evidence.",3,"Mastery (target): Documents a clear, correct map of the system's internal process flow — its steps, sequence, and main decision points, distinct from the user's experience.",2.5,"Near Mastery: Partial map; flow unclear.",2,"Below Mastery: Absent or incorrect notation.",0,"No Evidence: Nothing submitted to assess."
cpe103_clo3,group,"CLO3 — Teamwork & Collaboration","Collaborate in a team to plan, manage, and deliver assignments and projects, fulfilling individual responsibilities and contributing to shared goals.",,,,,active,cpe103_clos,,
cpe103_clo3_1,outcome,"CLO3.1 Individual responsibility & collaboration (individual)","Each student's own reliability and cooperation, scored individually. Compound criterion — when the two halves perform at different levels, score to the weaker half. Part of CLO3: Collaborate in a team to plan, manage, and deliver assignments and projects.","You complete your own share on time (visible in commits or the task board) and communicate respectfully toward shared goals. Mastery (3) is the target; Exemplary (4) is available on the Final Project.","CLO3.1 Individual responsibility",average,,active,cpe103_clo3,3,4,"Exemplary: Meets Mastery and also measurably improves how the team works — unblocks a teammate, fixes a recurring process problem, or synthesizes others' ideas into a shared decision. Final Project only — claimed with evidence.",3,"Mastery (target): Reliably completes own assigned share on time (seen in commits/task board), and communicates and cooperates respectfully toward shared goals. Scored to the weaker half.",2.5,"Near Mastery: Inconsistent; needs reminders, and communicates sporadically.",2,"Below Mastery: Little or no contribution; disengaged or misses commitments.",0,"No Evidence: No evidence to assess."
cpe103_clo3_2,outcome,"CLO3.2 Planning & delivery (team)","The team's shared planning, tracking, and delivery. At the Lab 9 planning milestone only the planning half is in scope; at the Final Project Openhouse the same criterion is scored against what was actually delivered. Part of CLO3: Collaborate in a team to plan, manage, and deliver assignments and projects.","Your team plans and tracks the work (e.g. a task board) to stay on schedule, and delivers the complete assignment or project. Mastery (3) is the target; Exemplary (4) is available on the Final Project.","CLO3.2 Planning & delivery",average,,active,cpe103_clo3,3,4,"Exemplary: Meets Mastery and also builds resilience into the plan up front — checkpoints, contingencies, or workload rebalancing that the team can point to as having kept delivery on track. Final Project only — claimed with evidence.",3,"Mastery (target): Plans and tracks the work (e.g. a task board) to stay on schedule, and delivers the complete assignment or project as required. At Lab 9 only the planning half is in scope.",2.5,"Near Mastery: Plans loosely; tasks tracked unevenly; delivers late or incomplete.",2,"Below Mastery: No planning; work uncoordinated; fails to deliver.",0,"No Evidence: No evidence to assess."
cpe103_clo4,group,"CLO4 — Communication","Communicate engineering concepts clearly in written form and in oral presentation.",,,,,active,cpe103_clos,,
cpe103_clo4_1,outcome,"CLO4.1 Clarity & organization","Structure and clarity of the content, applied to both written deliverables and presentations. For purely written deliverables this is the only CLO4 criterion assessed. Part of CLO4: Communicate engineering concepts clearly in written form and in oral presentation.","Your document or talk is clear and well-organized — the audience can follow easily. Mastery (3) is the target; Exemplary (4) is available only in Lab 7, the self-selected-topic presentation.","CLO4.1 Clarity & organization",average,,active,cpe103_clo4,3,4,"Exemplary: Meets Mastery and also connects the content to the audience to draw them in — a relatable analogy, or a hook from current events or the audience's own context. Lab 7 only — claimed with evidence.",3,"Mastery (target): Clear and well-organized; the audience can follow easily.",2.5,"Near Mastery: Some structure; clarity uneven.",2,"Below Mastery: Disorganized; hard to follow.",0,"No Evidence: No evidence to assess."
cpe103_clo4_2,outcome,"CLO4.2 Oral delivery","Spoken delivery and handling of questions in presentations. Omitted for purely written deliverables. Part of CLO4: Communicate engineering concepts clearly in written form and in oral presentation.","You deliver clearly and confidently at a good pace, and answer questions adequately. Mastery (3) is the target; Exemplary (4) is available only in Lab 7, the self-selected-topic presentation.","CLO4.2 Oral delivery",average,,active,cpe103_clo4,3,4,"Exemplary: Meets Mastery and also handles a challenging or unanticipated question with composure — engaging with it directly rather than deflecting, even if the answer is incomplete. Lab 7 only — claimed with evidence.",3,"Mastery (target): Clear, confident, well-paced delivery; answers questions adequately.",2.5,"Near Mastery: Hesitant; limited engagement.",2,"Below Mastery: Unclear; reads slides; no engagement.",0,"No Evidence: No evidence to assess."
cpe103_clo5,group,"CLO5 — Capstone Integration","Integrate programming, system analysis, teamwork, and communication into a single coherent software application, taking it from initial concept to a working product. CLO5 scores the integration itself; the quality of the parts is scored in CLO1–CLO4, not re-graded here.",,,,,active,cpe103_clos,,
cpe103_clo5_1,outcome,"CLO5.1 Working integrated product (team)","Whether the separately-built parts work together end-to-end as one application. Scored at the team level. Part of CLO5: Integrate programming, system analysis, teamwork, and communication into a single coherent software application.","Your team's parts work together end-to-end as one application, meeting the project's core requirements. Mastery (3) is the target; Exemplary (4) is available on the Final Project.","CLO5.1 Working integrated product",average,,active,cpe103_clo5,3,4,"Exemplary: Meets Mastery and also embodies the assigned theme — localized to a relatable setting (e.g. CMU, current news, university events) and clearly expressed in play, not just named. Final Project only — claimed with evidence.",3,"Mastery (target): The parts work together end-to-end as one application, meeting the project's core requirements.",2.5,"Near Mastery: Parts work in isolation but don't connect; the core end-to-end flow is broken.",2,"Below Mastery: Largely non-functional.",0,"No Evidence: Nothing submitted to assess."
cpe103_clo5_2,outcome,"CLO5.2 Coherence & integration (team)","Whether the components fit one deliberate design carried from initial concept to a working build. Scored at the team level. A fix inside one area belongs to that area's CLO; synergy here means one area reshaping another. Part of CLO5: Integrate programming, system analysis, teamwork, and communication into a single coherent software application.","Your team's product is coherent — its components fit one deliberate design, carried from concept to a working build. Mastery (3) is the target; Exemplary (4) is available on the Final Project.","CLO5.2 Coherence & integration",average,,active,cpe103_clo5,3,4,"Exemplary: Meets Mastery and also shows synergy — two project areas that shaped each other, proven with a before-and-after of the change (e.g. a UX finding that reshaped the plan). Final Project only — claimed with evidence.",3,"Mastery (target): A coherent product whose components fit one deliberate design, carried from initial concept through to a working build.",2.5,"Near Mastery: Loosely assembled; the pieces fit a single design only partially or inconsistently.",2,"Below Mastery: Components disconnected; no evident overall design.",0,"No Evidence: Nothing submitted to assess."
